Orthogroup,K,p,LRT,identical_dists,omega_max,degen,sig,direction
OG0000057,0.8584628856162669,0.3988918343183389,0.7116643707540788,False,4.431376,False,False,relaxation
OG0000058,3.556454439678828,0.003792132274299864,8.380762838209193,False,67.124921,False,True,intensification
OG0000059,2.698034775068153,0.01609970193021304,5.791952108255373,False,2069.580958,True,True,intensification
OG0000060,2.572761856127515,0.001395446724401173,10.21180312923934,False,5.903878,False,True,intensification
OG0000061,1.330383202074757,0.639920314422703,0.2188463980455708,False,1.166115,False,False,intensification
OG0000063,18.83823109817964,0.03459774162416906,4.464918426267332,False,16106.445025,True,True,intensification
OG0000065,0.0,0.006359314789713078,7.445559481016289,False,1.358736,False,True,relaxation
OG0000066,1.033652359896694,0.9224428609436626,0.009478392938490288,False,3.738175,False,False,intensification
OG0000067,0.1039908779418918,0.03288108356373765,4.551960145174689,False,34.856985,False,True,relaxation
OG0000069,50.0,0.0005597426381496184,11.90530629446903,False,16244.08106,True,True,intensification
OG0000071,1.153799050828163,0.4644504923337811,0.5351481098005024,False,2.062149,False,False,intensification
OG0000074,0.8018992455544189,0.6824771353880003,0.1673507027337564,False,1.206124,False,False,relaxation
OG0000083,1.485417205800609,0.5298039266233838,0.3947676147436141,False,4.592693,False,False,intensification
OG0000086,2.55935690393292,0.05773952462996135,3.60115264506112,False,15.69411,False,False,intensification
OG0000087,0.9188822462520932,0.7275598971535677,0.1213639139527913,False,1462.625125,True,False,relaxation
OG0000088,1.776648723280004,0.0346810494183829,4.460809948623591,False,1.170048,False,True,intensification
OG0000089,1.116982486891436,0.4664465491920283,0.5303814142816918,False,4.702058,False,False,intensification
OG0000090,2.058109091981198,0.09520425138309307,2.784098537802493,False,2128210.015668,True,False,intensification
OG0000092,5.48039143555425e-08,4.248453772603966e-05,16.75703118352249,False,4.969697,False,True,relaxation
OG0000096,0.903606798,1.0,0.0,False,3.828421,False,False,relaxation
OG0000097,0.05909065947982889,0.1783640712704658,1.811202289760786,False,1.0,False,False,relaxation
OG0000098,1.153528363677768,0.3006687964559247,1.071225508837415,False,17369.309969,True,False,intensification
OG0000100,0.2083671528139346,2.024183748250419e-05,18.16640317030578,False,12.751124,False,True,relaxation
OG0000106,2.082397157481304,0.1094205638777775,2.562570174578468,False,9267.334257,True,False,intensification
OG0000110,3.888476549380837,0.001233255842814862,10.43984552047868,False,9027.582859,True,True,intensification
OG0000111,3.905806989735487,0.005717221452520627,7.63733848787956,False,283.078952,True,True,intensification
OG0000112,2.579169530362282,0.09519627041785039,2.784232834950217,False,1.0,False,False,intensification
OG0000114,1.617332230924761,0.2305355504017269,1.437554101862133,False,8.74869,False,False,intensification
OG0000115,1.086199303552487,0.8172641940656729,0.05339110042314132,False,225.489822,True,False,intensification
OG0000116,8.475576822494428,5.632752278939002e-05,16.2222874498907,False,13.522657,False,True,intensification
OG0000117,1.496710436334184,0.003812235451654544,8.371153630622757,False,3.191808,False,True,intensification
OG0000118,4.669599749857574,5.450459342748459e-06,20.67209416512742,False,7.393683,False,True,intensification
OG0000119,0.8622683205146652,0.5044857936234186,0.4454872942806105,False,4.287791,False,False,relaxation
OG0000120,0.9490515499572618,0.768045722582867,0.0869849646333023,False,36.115911,False,False,relaxation
OG0000122,0.5719873453293604,0.07966333119177949,3.07175695946853,False,550.763355,True,False,relaxation
OG0000123,0.06681956650138743,4.611919890329386e-05,16.60130819645065,False,47.959323,False,True,relaxation
